layer,index,singular_value
3,56,194.41294400785986
3,57,190.60643018125566
3,58,190.1700238090496
3,59,185.38255484732943
3,60,184.0458739953067
3,61,179.60080610992924
3,62,177.34343672667603
3,63,175.2978562458835
3,64,173.58323143149718
3,65,170.0034683383337
3,66,168.96019553664436
3,67,166.35761763423105
3,68,165.69692834223645
3,69,163.28806025334606
3,70,159.93734118344693
3,71,158.8194573442044
3,72,156.1940404183769
3,73,154.92170187192838
3,74,154.61694660551353
3,75,152.47092122535193
3,76,150.91833801819138
3,77,148.94173572109892
3,78,147.01048565064235
3,79,145.43861467303356
3,80,143.54919674542435
3,81,141.31440351123277
3,82,139.4146710488825
3,83,136.36538918063513
3,84,135.59805128601533
3,85,134.61515009992593
3,86,134.19534823065493
3,87,133.45935813589344
3,88,131.65756963123232
3,89,129.68259853183446
3,90,128.3132768000498
3,91,126.56845822869984
3,92,126.13646500013391
3,93,123.94827581901157
3,94,123.0273112728533
3,95,122.06747890919867
3,96,120.68532786243819
3,97,120.10183136173164
3,98,117.05188149832767
3,99,115.95225588065927
3,100,114.78701421026695
3,101,112.85080052059776
3,102,112.16805240158118
3,103,109.51579801264293
3,104,108.99788020104212
3,105,108.30381035597163
3,106,107.12216778346807
3,107,105.90831721980456
3,108,103.58969845193538
3,109,101.84143320303065
3,110,101.53712487371999
3,111,101.00143840963983
3,112,99.62097173445123
3,113,98.46797267669909
3,114,96.91267859986102
3,115,95.78319811769529
3,116,95.05476156375323
3,117,92.44903746860068
3,118,90.28482267777171
3,119,86.51601282624539
3,120,84.09939217559773
3,121,79.02342810318645
3,122,76.86352357675824
3,123,71.75116186981329
3,124,63.402949913663946
3,125,55.20148776977034
3,126,53.11510186879522
3,127,49.19915713861009
3,128,17.581983918851908
4,1,4600.208479104285
4,2,1004.9084592801591
4,3,929.5124794430521
4,4,862.5897033865242
4,5,738.887505614542
4,6,725.7429938096559
4,7,698.4530542630787
4,8,659.7925653734818
4,9,641.963780686167
4,10,571.3665419455202
4,11,531.0243295458704
4,12,514.08436807983
4,13,486.15711086151686
4,14,461.94476355320654
4,15,444.69011596038837
4,16,440.52875065302044
4,17,420.02653010225487
4,18,408.67272754414734
4,19,377.34026210983217
4,20,374.5594490867012
4,21,355.38058560593936
4,22,344.82725526968267
4,23,333.4035102666499
4,24,329.92910575921223
4,25,310.23881589022784
4,26,308.379390447731
4,27,294.322130297815
4,28,282.70763509300053
4,29,274.59747683332256
4,30,266.2804521607809
4,31,263.93530479272727
4,32,254.7907437614821
4,33,247.74537355719585
4,34,247.390997086706
4,35,241.60511726067
4,36,231.84159298541016
4,37,223.9529077043186
4,38,220.34524193352385
4,39,217.2674710326206
4,40,212.347278595325
4,41,206.961712580172
4,42,203.16040323159396
4,43,201.19160832322103
4,44,199.53471573358505
4,45,193.71848347003584
4,46,191.00416897138976
4,47,188.54685809828362
4,48,184.71125279208667
4,49,179.91607397595038
4,50,176.94797813622924
4,51,173.2100397063514
4,52,172.54237887687182
4,53,169.84113906810512
4,54,166.2017829074803
4,55,163.94007870202526
4,56,162.53191932085377
4,57,157.35007869932417
4,58,157.10570140519994
4,59,153.01164132826955
4,60,152.55993353045918
4,61,149.45800118894465
4,62,147.28428222171155
4,63,145.86529971590727
4,64,143.65535199329238
4,65,142.38250496646774
4,66,140.6633311931517
4,67,140.07901687933796
4,68,138.66041047077917
4,69,134.12124340966733
4,70,133.3170799516907
4,71,130.8618859755101
4,72,129.83345783129502
4,73,127.55523548765044
4,74,126.21850036735215
4,75,126.06282185539247
4,76,123.96872256122683
4,77,123.42076825280033
4,78,121.22247336091203
4,79,119.83042572284633
4,80,119.32715359116634
4,81,117.00761152806133
4,82,114.82227818920367
4,83,114.31529819844025
4,84,113.5119057968443
4,85,112.41639495239092
4,86,110.67449324977653
4,87,109.65217072041872
4,88,107.7480570663073
4,89,107.50917807527807
4,90,104.02361873247534
4,91,102.90330994724115
4,92,101.9577124328853
4,93,101.15995318623075
4,94,100.71620110115224
4,95,97.50722132417485
4,96,96.90400424575401
4,97,95.2354596664444
4,98,93.61550447087711
4,99,92.5686434112607
4,100,89.30083621484215
4,101,88.66425154936454
4,102,85.94943707987906
4,103,85.83775790158852
4,104,83.98967826086765
4,105,82.64112489723134
4,106,81.56231169255662
4,107,78.78663203058106
4,108,77.75188106379312
4,109,76.49274864252018
4,110,73.30028401313602
4,111,71.33178262373892
4,112,67.98912463651966
4,113,66.70544682088313
4,114,65.02139477847444
4,115,52.90268067166396
4,116,44.69918268275075
4,117,42.93219269556932
4,118,40.79855239354993
4,119,38.73000522658149
4,120,37.15220567207047
4,121,33.60377567784382
4,122,23.716648112342494
4,123,23.581972609074487
4,124,20.660277062318613
4,125,15.522035973511887
4,126,10.20500717972775
4,127,5.911980627185832
4,128,3.6756228017576804
5,1,4558.026432461563
5,2,1086.5861107806245
5,3,960.8073503122595
5,4,788.6692466311396
5,5,762.8241899406156
5,6,668.9471726208221
5,7,646.3476766606694
5,8,616.09327933967
5,9,578.7147619433448
5,10,545.4056548418887
5,11,489.5174593358167
5,12,473.80556971929576
5,13,449.007669166958
5,14,416.3421495489027
5,15,393.60008852203924
5,16,390.3714262936289
5,17,376.14696585520244
5,18,362.1684079300773
5,19,353.602210563717
5,20,342.0085358678503
5,21,337.2076969023132
5,22,327.90452658902535
5,23,308.722171584031
5,24,295.09124613034845
5,25,279.60352211884884
5,26,264.01355403056056
5,27,261.63016225718513
5,28,255.59931441092215
5,29,244.88980801229155
5,30,244.12372279368518
5,31,235.74947834511354
5,32,228.49870251649617
5,33,226.12288129868398
5,34,217.40625553803582
5,35,210.06484968715026
5,36,209.44441226342929
5,37,198.56303221987486
5,38,193.48477612306354
5,39,190.81429389580512
5,40,185.95485391026546
5,41,183.18415369264042
5,42,179.3825489410159
5,43,175.00885146907953
5,44,173.07510618811824
5,45,170.79582258658937
5,46,168.43557143187738
5,47,165.1276178880684
5,48,163.03373003805197
5,49,157.521198760917
5,50,154.7176107305328
5,51,152.34748857244554
5,52,149.826025067911
5,53,147.581413722032
5,54,144.8869629841717
5,55,140.9745566720352
5,56,140.13731951608915
5,57,138.48620357224397
5,58,136.35285754733727
5,59,135.5883701431531
5,60,134.54138378518837
5,61,131.5046299383703
5,62,129.1394978848994
5,63,126.22414843196621
5,64,125.4690793697959
5,65,124.21551604000896
5,66,123.0640764610971
5,67,119.43101805401388
5,68,118.14205889789446
5,69,116.0314485181507
5,70,114.8953207044082
5,71,111.81523913991275
5,72,109.14235394445154
5,73,109.02044350106209
5,74,108.09854598615766
5,75,106.1356052839497
5,76,105.26008064265494
5,77,104.31036689367447
5,78,102.58640592969901
5,79,101.58106991594549
5,80,99.8805040645352
5,81,97.62053098565703
5,82,96.76539497023171
5,83,95.15066615498384
5,84,94.0926450232758
5,85,92.10075307697738
5,86,91.64403655768555
5,87,90.99098579163534
5,88,89.2267038667874
5,89,88.40406798581293
5,90,86.92974855892024
5,91,86.05044595337094
5,92,84.48617849583462
5,93,82.69609409816903
5,94,82.22532205944201
5,95,80.55866174338429
5,96,79.22762165709216
5,97,78.33249424330491
5,98,77.71140768852418
5,99,76.50671078627599
5,100,74.08923198532064
5,101,72.21878144811681
5,102,70.55286301182535
5,103,69.92897917148927
5,104,67.48780198376963
5,105,67.02004791941776
5,106,65.45323073724745
5,107,58.874812416628295
5,108,55.72889028661431
5,109,53.943442306447366
5,110,52.73719592667083
5,111,50.79142474643465
5,112,44.85379587267393
5,113,41.58626251551439
5,114,39.88645911310831
5,115,37.21780635575238
5,116,31.078763620797652
5,117,26.300291836120152
5,118,24.88159840325658
5,119,22.971909004546074
5,120,16.90519100630143
5,121,14.26008487790595
5,122,11.889955187365771
5,123,10.94939784737988
5,124,10.39832415744502
5,125,3.938293742160526
5,126,2.297532216017506
5,127,1.9888630317101161
5,128,0.0
6,1,4971.799183035107
6,2,1007.170796077523
6,3,908.5096141263502
6,4,769.7766970787624
6,5,690.7705887193313
6,6,684.1801581508854
6,7,641.17821123879
6,8,580.9411436820632
6,9,523.3435586887533
6,10,500.8142511648791
6,11,444.3931917660822
6,12,432.95880015257967
6,13,410.2357879208301
6,14,399.2935015999729
6,15,372.59924849841207
